# prompt_constrained_16_denoised_000times,prompt_constrained_16_denoised_050times,prompt_constrained_16_denoised_100times,prompt_constrained_16_denoised_150times,prompt_constrained_16_denoised_200times,prompt_constrained_16_denoised_250times,prompt_constrained_16_denoised_300times,prompt_constrained_16_denoised_350times,prompt_constrained_32_denoised_000times,prompt_constrained_32_denoised_050times,prompt_constrained_32_denoised_100times,prompt_constrained_32_denoised_150times,prompt_constrained_32_denoised_200times,prompt_constrained_32_denoised_250times,prompt_constrained_32_denoised_300times,prompt_constrained_32_denoised_350times,prompt_constrained_64_denoised_000times,prompt_constrained_64_denoised_050times,prompt_constrained_64_denoised_100times,prompt_constrained_64_denoised_150times,prompt_constrained_64_denoised_200times,prompt_constrained_64_denoised_250times,prompt_constrained_64_denoised_300times,prompt_constrained_64_denoised_350times,prompt_unconstrained_denoised_000times,prompt_unconstrained_denoised_050times,prompt_unconstrained_denoised_100times,prompt_unconstrained_denoised_150times,prompt_unconstrained_denoised_200times,prompt_unconstrained_denoised_250times,prompt_unconstrained_denoised_300times,prompt_unconstrained_denoised_350times,is_malicious
6.311035156250000000e-02,6.567382812500000000e-02,6.015014648437500000e-02,5.789184570312500000e-02,5.685424804687500000e-02,5.987548828125000000e-02,5.670166015625000000e-02,5.862426757812500000e-02,6.744384765625000000e-02,6.646728515625000000e-02,6.579589843750000000e-02,6.408691406250000000e-02,6.018066406250000000e-02,5.770874023437500000e-02,5.975341796875000000e-02,5.926513671875000000e-02,6.701660156250000000e-02,6.549072265625000000e-02,6.610107421875000000e-02,6.555175781250000000e-02,6.909179687500000000e-02,6.683349609375000000e-02,6.158447265625000000e-02,6.021118164062500000e-02,6.152343750000000000e-02,6.268310546875000000e-02,6.304931640625000000e-02,6.280517578125000000e-02,6.774902343750000000e-02,6.317138671875000000e-02,6.060791015625000000e-02,6.396484375000000000e-02,1.000000000000000000e+00
5.413818359375000000e-02,5.371093750000000000e-02,4.870605468750000000e-02,4.718017578125000000e-02,4.663085937500000000e-02,4.849243164062500000e-02,4.574584960937500000e-02,4.797363281250000000e-02,5.929565429687500000e-02,5.688476562500000000e-02,5.438232421875000000e-02,5.072021484375000000e-02,4.812622070312500000e-02,4.690551757812500000e-02,4.800415039062500000e-02,4.751586914062500000e-02,5.645751953125000000e-02,5.529785156250000000e-02,5.615234375000000000e-02,5.456542968750000000e-02,5.496215820312500000e-02,5.453491210937500000e-02,5.187988281250000000e-02,4.922485351562500000e-02,5.722045898437500000e-02,5.776977539062500000e-02,5.831909179687500000e-02,5.770874023437500000e-02,6.054687500000000000e-02,5.746459960937500000e-02,5.676269531250000000e-02,5.993652343750000000e-02,1.000000000000000000e+00
6.323242187500000000e-02,6.634521484375000000e-02,6.500244140625000000e-02,6.134033203125000000e-02,6.069946289062500000e-02,6.137084960937500000e-02,5.929565429687500000e-02,6.216430664062500000e-02,6.811523437500000000e-02,6.738281250000000000e-02,6.597900390625000000e-02,6.524658203125000000e-02,6.298828125000000000e-02,6.298828125000000000e-02,6.378173828125000000e-02,6.335449218750000000e-02,6.738281250000000000e-02,6.726074218750000000e-02,6.634521484375000000e-02,6.768798828125000000e-02,7.183837890625000000e-02,6.921386718750000000e-02,6.671142578125000000e-02,6.372070312500000000e-02,5.718994140625000000e-02,5.819702148437500000e-02,5.847167968750000000e-02,5.905151367187500000e-02,6.378173828125000000e-02,5.874633789062500000e-02,5.654907226562500000e-02,5.688476562500000000e-02,1.000000000000000000e+00
3.433227539062500000e-02,3.707885742187500000e-02,3.286743164062500000e-02,2.835083007812500000e-02,2.804565429687500000e-02,3.038024902343750000e-02,2.674865722656250000e-02,2.911376953125000000e-02,3.887939453125000000e-02,3.912353515625000000e-02,3.585815429687500000e-02,3.390502929687500000e-02,2.897644042968750000e-02,3.059387207031250000e-02,3.053283691406250000e-02,3.158569335937500000e-02,3.814697265625000000e-02,3.686523437500000000e-02,3.741455078125000000e-02,3.692626953125000000e-02,4.067993164062500000e-02,3.674316406250000000e-02,3.317260742187500000e-02,3.102111816406250000e-02,2.980041503906250000e-02,3.099060058593750000e-02,3.076171875000000000e-02,3.034973144531250000e-02,3.536987304687500000e-02,3.161621093750000000e-02,3.007507324218750000e-02,3.237915039062500000e-02,1.000000000000000000e+00
6.915283203125000000e-02,7.244873046875000000e-02,6.872558593750000000e-02,6.396484375000000000e-02,6.378173828125000000e-02,6.646728515625000000e-02,6.311035156250000000e-02,6.640625000000000000e-02,7.318115234375000000e-02,7.397460937500000000e-02,7.165527343750000000e-02,7.012939453125000000e-02,6.591796875000000000e-02,6.658935546875000000e-02,6.726074218750000000e-02,6.848144531250000000e-02,7.379150390625000000e-02,7.299804687500000000e-02,7.275390625000000000e-02,7.391357421875000000e-02,7.794189453125000000e-02,7.537841796875000000e-02,7.135009765625000000e-02,6.774902343750000000e-02,6.604003906250000000e-02,6.762695312500000000e-02,6.787109375000000000e-02,6.762695312500000000e-02,7.348632812500000000e-02,6.848144531250000000e-02,6.597900390625000000e-02,6.817626953125000000e-02,1.000000000000000000e+00
6.469726562500000000e-02,6.848144531250000000e-02,6.542968750000000000e-02,6.176757812500000000e-02,6.112670898437500000e-02,6.246948242187500000e-02,6.082153320312500000e-02,6.237792968750000000e-02,6.707763671875000000e-02,6.774902343750000000e-02,6.579589843750000000e-02,6.658935546875000000e-02,6.402587890625000000e-02,6.402587890625000000e-02,6.481933593750000000e-02,6.445312500000000000e-02,6.719970703125000000e-02,6.597900390625000000e-02,6.677246093750000000e-02,6.707763671875000000e-02,7.196044921875000000e-02,6.872558593750000000e-02,6.787109375000000000e-02,6.481933593750000000e-02,5.932617187500000000e-02,6.048583984375000000e-02,6.008911132812500000e-02,6.005859375000000000e-02,6.494140625000000000e-02,6.018066406250000000e-02,5.865478515625000000e-02,5.966186523437500000e-02,1.000000000000000000e+00
7.043457031250000000e-02,6.988525390625000000e-02,6.665039062500000000e-02,6.384277343750000000e-02,6.372070312500000000e-02,6.591796875000000000e-02,6.335449218750000000e-02,6.518554687500000000e-02,7.446289062500000000e-02,7.293701171875000000e-02,7.006835937500000000e-02,6.878662109375000000e-02,6.640625000000000000e-02,6.414794921875000000e-02,6.628417968750000000e-02,6.774902343750000000e-02,7.232666015625000000e-02,7.098388671875000000e-02,7.122802734375000000e-02,7.104492187500000000e-02,7.440185546875000000e-02,7.244873046875000000e-02,7.006835937500000000e-02,6.634521484375000000e-02,6.689453125000000000e-02,6.701660156250000000e-02,6.744384765625000000e-02,6.701660156250000000e-02,6.964111328125000000e-02,6.671142578125000000e-02,6.506347656250000000e-02,6.689453125000000000e-02,1.000000000000000000e+00
3.567504882812500000e-02,3.530883789062500000e-02,3.448486328125000000e-02,3.167724609375000000e-02,3.228759765625000000e-02,3.176879882812500000e-02,3.207397460937500000e-02,3.167724609375000000e-02,3.939819335937500000e-02,3.753662109375000000e-02,3.530883789062500000e-02,3.393554687500000000e-02,3.237915039062500000e-02,3.283691406250000000e-02,3.292846679687500000e-02,3.292846679687500000e-02,3.829956054687500000e-02,3.778076171875000000e-02,3.808593750000000000e-02,3.631591796875000000e-02,3.872680664062500000e-02,3.692626953125000000e-02,3.335571289062500000e-02,3.411865234375000000e-02,3.234863281250000000e-02,3.305053710937500000e-02,3.366088867187500000e-02,3.302001953125000000e-02,3.750610351562500000e-02,3.421020507812500000e-02,3.176879882812500000e-02,3.424072265625000000e-02,1.000000000000000000e+00
6.665039062500000000e-02,6.860351562500000000e-02,6.732177734375000000e-02,6.210327148437500000e-02,6.207275390625000000e-02,6.555175781250000000e-02,6.292724609375000000e-02,6.512451171875000000e-02,6.976318359375000000e-02,7.086181640625000000e-02,6.964111328125000000e-02,6.652832031250000000e-02,6.323242187500000000e-02,6.488037109375000000e-02,6.616210937500000000e-02,6.817626953125000000e-02,7.208251953125000000e-02,7.250976562500000000e-02,7.086181640625000000e-02,7.122802734375000000e-02,7.269287109375000000e-02,7.000732421875000000e-02,6.781005859375000000e-02,6.738281250000000000e-02,7.415771484375000000e-02,7.501220703125000000e-02,7.592773437500000000e-02,7.434082031250000000e-02,7.849121093750000000e-02,7.501220703125000000e-02,7.147216796875000000e-02,7.507324218750000000e-02,1.000000000000000000e+00
5.584716796875000000e-02,5.847167968750000000e-02,5.505371093750000000e-02,5.160522460937500000e-02,5.120849609375000000e-02,5.288696289062500000e-02,5.096435546875000000e-02,5.270385742187500000e-02,6.048583984375000000e-02,5.990600585937500000e-02,5.831909179687500000e-02,5.624389648437500000e-02,5.358886718750000000e-02,5.273437500000000000e-02,5.441284179687500000e-02,5.450439453125000000e-02,5.899047851562500000e-02,5.813598632812500000e-02,5.917358398437500000e-02,5.935668945312500000e-02,6.030273437500000000e-02,5.871582031250000000e-02,5.657958984375000000e-02,5.526733398437500000e-02,5.648803710937500000e-02,5.685424804687500000e-02,5.780029296875000000e-02,5.734252929687500000e-02,5.929565429687500000e-02,5.664062500000000000e-02,5.404663085937500000e-02,5.432128906250000000e-02,1.000000000000000000e+00
2.450942993164062500e-03,3.038406372070312500e-03,5.378723144531250000e-04,-2.435684204101562500e-03,-3.318786621093750000e-03,-9.593963623046875000e-04,-1.945495605468750000e-03,-1.124382019042968750e-03,6.496429443359375000e-03,5.279541015625000000e-03,4.947662353515625000e-03,2.248764038085937500e-03,-6.484985351562500000e-04,3.950595855712890625e-04,-1.156806945800781250e-03,1.027107238769531250e-03,6.172180175781250000e-03,4.264831542968750000e-03,4.631042480468750000e-03,5.367279052734375000e-03,7.781982421875000000e-03,6.084442138671875000e-03,1.900672912597656250e-03,2.787113189697265625e-04,-3.881454467773437500e-03,-2.769470214843750000e-03,-2.851486206054687500e-03,-2.733230590820312500e-03,2.399444580078125000e-03,-1.424551010131835938e-04,-1.232147216796875000e-03,-2.040863037109375000e-03,1.000000000000000000e+00
6.091308593750000000e-02,5.923461914062500000e-02,5.657958984375000000e-02,5.371093750000000000e-02,5.361938476562500000e-02,5.502319335937500000e-02,5.392456054687500000e-02,5.502319335937500000e-02,6.463623046875000000e-02,6.475830078125000000e-02,6.155395507812500000e-02,5.706787109375000000e-02,5.447387695312500000e-02,5.535888671875000000e-02,5.560302734375000000e-02,5.682373046875000000e-02,6.268310546875000000e-02,6.146240234375000000e-02,6.292724609375000000e-02,6.155395507812500000e-02,6.225585937500000000e-02,6.088256835937500000e-02,5.795288085937500000e-02,5.688476562500000000e-02,5.715942382812500000e-02,5.734252929687500000e-02,5.792236328125000000e-02,5.749511718750000000e-02,5.996704101562500000e-02,5.743408203125000000e-02,5.462646484375000000e-02,5.303955078125000000e-02,1.000000000000000000e+00
5.010986328125000000e-02,5.230712890625000000e-02,4.925537109375000000e-02,4.467773437500000000e-02,4.415893554687500000e-02,4.772949218750000000e-02,4.397583007812500000e-02,4.684448242187500000e-02,5.343627929687500000e-02,5.294799804687500000e-02,5.142211914062500000e-02,5.111694335937500000e-02,4.528808593750000000e-02,4.602050781250000000e-02,4.678344726562500000e-02,4.885864257812500000e-02,5.255126953125000000e-02,5.184936523437500000e-02,5.358886718750000000e-02,5.490112304687500000e-02,5.673217773437500000e-02,5.664062500000000000e-02,4.983520507812500000e-02,4.812622070312500000e-02,4.727172851562500000e-02,4.815673828125000000e-02,4.821777343750000000e-02,4.840087890625000000e-02,5.279541015625000000e-02,4.962158203125000000e-02,4.602050781250000000e-02,4.977416992187500000e-02,1.000000000000000000e+00
7.214355468750000000e-02,7.110595703125000000e-02,6.890869140625000000e-02,6.463623046875000000e-02,6.457519531250000000e-02,6.781005859375000000e-02,6.353759765625000000e-02,6.634521484375000000e-02,7.794189453125000000e-02,7.708740234375000000e-02,7.318115234375000000e-02,6.939697265625000000e-02,6.536865234375000000e-02,6.713867187500000000e-02,6.695556640625000000e-02,6.951904296875000000e-02,7.666015625000000000e-02,7.604980468750000000e-02,7.470703125000000000e-02,7.427978515625000000e-02,7.629394531250000000e-02,7.360839843750000000e-02,7.147216796875000000e-02,6.817626953125000000e-02,7.574462890625000000e-02,7.690429687500000000e-02,7.702636718750000000e-02,7.653808593750000000e-02,8.062744140625000000e-02,7.574462890625000000e-02,7.391357421875000000e-02,7.684326171875000000e-02,1.000000000000000000e+00
6.903076171875000000e-02,7.104492187500000000e-02,6.463623046875000000e-02,5.953979492187500000e-02,5.895996093750000000e-02,6.256103515625000000e-02,5.902099609375000000e-02,6.143188476562500000e-02,7.330322265625000000e-02,7.220458984375000000e-02,6.884765625000000000e-02,6.604003906250000000e-02,6.274414062500000000e-02,6.384277343750000000e-02,6.246948242187500000e-02,6.500244140625000000e-02,7.067871093750000000e-02,7.000732421875000000e-02,7.080078125000000000e-02,7.037353515625000000e-02,7.629394531250000000e-02,7.354736328125000000e-02,6.842041015625000000e-02,6.524658203125000000e-02,6.085205078125000000e-02,6.274414062500000000e-02,6.274414062500000000e-02,6.228637695312500000e-02,6.860351562500000000e-02,6.317138671875000000e-02,6.155395507812500000e-02,6.274414062500000000e-02,1.000000000000000000e+00
5.548095703125000000e-02,5.752563476562500000e-02,5.664062500000000000e-02,5.255126953125000000e-02,5.368041992187500000e-02,5.569458007812500000e-02,5.343627929687500000e-02,5.496215820312500000e-02,6.027221679687500000e-02,5.926513671875000000e-02,6.015014648437500000e-02,5.801391601562500000e-02,5.438232421875000000e-02,5.560302734375000000e-02,5.496215820312500000e-02,5.529785156250000000e-02,5.892944335937500000e-02,5.914306640625000000e-02,5.789184570312500000e-02,5.874633789062500000e-02,6.042480468750000000e-02,5.770874023437500000e-02,5.697631835937500000e-02,5.526733398437500000e-02,5.715942382812500000e-02,5.862426757812500000e-02,5.841064453125000000e-02,5.828857421875000000e-02,6.170654296875000000e-02,5.844116210937500000e-02,5.639648437500000000e-02,5.947875976562500000e-02,1.000000000000000000e+00
7.922363281250000000e-02,8.062744140625000000e-02,7.720947265625000000e-02,7.159423828125000000e-02,7.226562500000000000e-02,7.531738281250000000e-02,7.348632812500000000e-02,7.543945312500000000e-02,8.312988281250000000e-02,8.093261718750000000e-02,8.068847656250000000e-02,7.708740234375000000e-02,7.318115234375000000e-02,7.501220703125000000e-02,7.464599609375000000e-02,7.727050781250000000e-02,8.251953125000000000e-02,8.282470703125000000e-02,8.190917968750000000e-02,8.129882812500000000e-02,8.404541015625000000e-02,8.032226562500000000e-02,7.800292968750000000e-02,7.568359375000000000e-02,7.647705078125000000e-02,7.800292968750000000e-02,7.800292968750000000e-02,7.714843750000000000e-02,8.215332031250000000e-02,7.775878906250000000e-02,7.531738281250000000e-02,7.910156250000000000e-02,1.000000000000000000e+00
6.622314453125000000e-02,6.848144531250000000e-02,6.768798828125000000e-02,5.911254882812500000e-02,5.972290039062500000e-02,6.176757812500000000e-02,5.926513671875000000e-02,6.250000000000000000e-02,7.202148437500000000e-02,7.098388671875000000e-02,6.903076171875000000e-02,6.628417968750000000e-02,6.167602539062500000e-02,6.216430664062500000e-02,6.225585937500000000e-02,6.365966796875000000e-02,7.159423828125000000e-02,7.214355468750000000e-02,7.073974609375000000e-02,7.159423828125000000e-02,7.354736328125000000e-02,6.896972656250000000e-02,6.781005859375000000e-02,6.414794921875000000e-02,6.646728515625000000e-02,6.781005859375000000e-02,6.781005859375000000e-02,6.768798828125000000e-02,7.135009765625000000e-02,6.732177734375000000e-02,6.427001953125000000e-02,6.823730468750000000e-02,1.000000000000000000e+00
4.443359375000000000e-02,4.583740234375000000e-02,4.055786132812500000e-02,3.811645507812500000e-02,3.784179687500000000e-02,3.994750976562500000e-02,3.869628906250000000e-02,3.936767578125000000e-02,4.797363281250000000e-02,4.647827148437500000e-02,4.455566406250000000e-02,4.211425781250000000e-02,3.909301757812500000e-02,4.019165039062500000e-02,3.976440429687500000e-02,4.196166992187500000e-02,4.611206054687500000e-02,4.464721679687500000e-02,4.550170898437500000e-02,4.617309570312500000e-02,4.833984375000000000e-02,4.504394531250000000e-02,4.254150390625000000e-02,4.183959960937500000e-02,4.095458984375000000e-02,4.110717773437500000e-02,4.129028320312500000e-02,4.064941406250000000e-02,4.446411132812500000e-02,4.074096679687500000e-02,3.845214843750000000e-02,3.915405273437500000e-02,1.000000000000000000e+00
5.624389648437500000e-02,6.170654296875000000e-02,5.792236328125000000e-02,5.313110351562500000e-02,5.221557617187500000e-02,5.615234375000000000e-02,5.175781250000000000e-02,5.450439453125000000e-02,6.134033203125000000e-02,6.210327148437500000e-02,6.036376953125000000e-02,5.899047851562500000e-02,5.395507812500000000e-02,5.590820312500000000e-02,5.554199218750000000e-02,5.679321289062500000e-02,6.152343750000000000e-02,6.033325195312500000e-02,5.999755859375000000e-02,6.188964843750000000e-02,6.665039062500000000e-02,6.335449218750000000e-02,5.996704101562500000e-02,5.670166015625000000e-02,5.267333984375000000e-02,5.480957031250000000e-02,5.517578125000000000e-02,5.474853515625000000e-02,6.213378906250000000e-02,5.502319335937500000e-02,5.242919921875000000e-02,5.514526367187500000e-02,1.000000000000000000e+00
4.428100585937500000e-02,4.568481445312500000e-02,4.486083984375000000e-02,4.132080078125000000e-02,4.321289062500000000e-02,4.208374023437500000e-02,4.168701171875000000e-02,4.238891601562500000e-02,4.544067382812500000e-02,4.449462890625000000e-02,4.537963867187500000e-02,4.299926757812500000e-02,4.187011718750000000e-02,4.190063476562500000e-02,4.360961914062500000e-02,4.367065429687500000e-02,4.498291015625000000e-02,4.577636718750000000e-02,4.458618164062500000e-02,4.516601562500000000e-02,4.394531250000000000e-02,4.461669921875000000e-02,4.379272460937500000e-02,4.272460937500000000e-02,4.269409179687500000e-02,4.360961914062500000e-02,4.364013671875000000e-02,4.327392578125000000e-02,4.583740234375000000e-02,4.382324218750000000e-02,4.232788085937500000e-02,4.415893554687500000e-02,1.000000000000000000e+00
6.756591796875000000e-02,7.312011718750000000e-02,7.006835937500000000e-02,6.457519531250000000e-02,6.488037109375000000e-02,6.707763671875000000e-02,6.311035156250000000e-02,6.500244140625000000e-02,7.244873046875000000e-02,7.214355468750000000e-02,7.000732421875000000e-02,6.982421875000000000e-02,6.610107421875000000e-02,6.591796875000000000e-02,6.677246093750000000e-02,6.848144531250000000e-02,7.263183593750000000e-02,7.177734375000000000e-02,7.354736328125000000e-02,7.281494140625000000e-02,7.604980468750000000e-02,7.135009765625000000e-02,6.909179687500000000e-02,6.677246093750000000e-02,6.665039062500000000e-02,6.768798828125000000e-02,6.781005859375000000e-02,6.726074218750000000e-02,7.269287109375000000e-02,6.756591796875000000e-02,6.488037109375000000e-02,6.933593750000000000e-02,1.000000000000000000e+00
5.627441406250000000e-02,5.899047851562500000e-02,5.603027343750000000e-02,5.441284179687500000e-02,5.410766601562500000e-02,5.520629882812500000e-02,5.432128906250000000e-02,5.447387695312500000e-02,5.831909179687500000e-02,5.847167968750000000e-02,6.002807617187500000e-02,5.984497070312500000e-02,5.609130859375000000e-02,5.429077148437500000e-02,5.648803710937500000e-02,5.657958984375000000e-02,5.947875976562500000e-02,5.953979492187500000e-02,5.819702148437500000e-02,6.146240234375000000e-02,6.222534179687500000e-02,6.103515625000000000e-02,5.807495117187500000e-02,5.715942382812500000e-02,5.062866210937500000e-02,5.163574218750000000e-02,5.252075195312500000e-02,5.233764648437500000e-02,5.487060546875000000e-02,5.239868164062500000e-02,5.194091796875000000e-02,5.261230468750000000e-02,1.000000000000000000e+00
7.073974609375000000e-02,6.951904296875000000e-02,6.665039062500000000e-02,6.414794921875000000e-02,6.420898437500000000e-02,6.658935546875000000e-02,6.475830078125000000e-02,6.579589843750000000e-02,7.397460937500000000e-02,7.336425781250000000e-02,7.073974609375000000e-02,6.707763671875000000e-02,6.365966796875000000e-02,6.585693359375000000e-02,6.451416015625000000e-02,6.744384765625000000e-02,7.440185546875000000e-02,7.318115234375000000e-02,7.269287109375000000e-02,7.269287109375000000e-02,7.342529296875000000e-02,7.012939453125000000e-02,6.848144531250000000e-02,6.640625000000000000e-02,7.116699218750000000e-02,7.177734375000000000e-02,7.238769531250000000e-02,7.208251953125000000e-02,7.476806640625000000e-02,7.110595703125000000e-02,6.939697265625000000e-02,7.104492187500000000e-02,1.000000000000000000e+00
4.757690429687500000e-02,4.638671875000000000e-02,4.339599609375000000e-02,4.028320312500000000e-02,4.074096679687500000e-02,4.412841796875000000e-02,4.165649414062500000e-02,4.400634765625000000e-02,5.142211914062500000e-02,4.959106445312500000e-02,4.879760742187500000e-02,4.605102539062500000e-02,4.141235351562500000e-02,4.345703125000000000e-02,4.241943359375000000e-02,4.467773437500000000e-02,4.974365234375000000e-02,4.879760742187500000e-02,4.946899414062500000e-02,4.919433593750000000e-02,5.130004882812500000e-02,4.965209960937500000e-02,4.641723632812500000e-02,4.479980468750000000e-02,4.580688476562500000e-02,4.684448242187500000e-02,4.687500000000000000e-02,4.684448242187500000e-02,5.020141601562500000e-02,4.840087890625000000e-02,4.785156250000000000e-02,4.925537109375000000e-02,1.000000000000000000e+00
